place_id,nama_tempat,alamat,jenis_bisnis,rating,jumlah_review,jam_operasional,harga_start,harga_end,latitude,longitude,telepon,website,keyword,jalan,kelurahan,kecamatan,kota,provinsi
ChIJ8Z4crV6McC4RzyS--cGCmy4,Mie Bandung Gg. Belakang Pak Min,"Kedungmu, Jl. Kedungmundu, Tandang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273, Indonesia",Restoran Mie,4.5,348,Senin: 10.00–20.00 | Selasa: 10.00–20.00 | Rabu: 10.00–20.00 | Kamis: 10.00–20.00 | Jumat: 10.00–20.00 | Sabtu: 10.00–20.00 | Minggu: 10.00–20.00,1.0,25000.0,-7.0190464,110.4558062,0877-0009-5450,,bakmi,"Kedungmu, Jl. Kedungmundu",Tandang,Tembalang,Semarang,Jawa Tengah
ChIJDQfVxICNcC4RSkXlhI76DNg,Bakmi Jowo Nasi Goreng KADONG TRESNO,"Jl. Sambiroto Raya No.45A, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276, Indonesia",Restoran Mie,3.1,64,Senin: 17.00–01.00 | Selasa: 17.00–01.00 | Rabu: 17.00–01.00 | Kamis: 17.00–01.00 | Jumat: 17.00–01.00 | Sabtu: 17.00–01.00 | Minggu: 17.00–01.00,1.0,25000.0,-7.029968500000001,110.4589556,0821-3525-5678,,bakmi,Jl. Sambiroto Raya No.45A,Sambiroto,Tembalang,Semarang,Jawa Tengah
ChIJIfDQNdONcC4RUNBO7glLNss,Bakmi Jowo Mas Nang,"perum klipang Blk. P XIV, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.7,6,Senin: 17.00–00.00 | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: 17.00–00.00,1.0,25000.0,-7.0449503,110.479215,,,bakmi,perum klipang Blk. P XIV,Sendangmulyo,Tembalang,Semarang,Jawa Tengah
ChIJ3ZBU25KNcC4RqB11HGOBSl4,Bakmi Jowo Sederhana,"Jl. Tegal Kangkung 14 No.224, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273, Indonesia",Restoran Mie,4.3,4,Senin: 18.00–00.00 | Selasa: 18.00–00.00 | Rabu: 18.00–00.00 | Kamis: 18.00–00.00 | Jumat: 18.00–00.00 | Sabtu: 18.00–00.00 | Minggu: 18.00–00.00,,,-7.0232436,110.4689316,,,bakmi,Jl. Tegal Kangkung 14 No.224,Kedungmundu,Tembalang,Semarang,Jawa Tengah
ChIJfTRjMEWMcC4Rj2KUGiM1VN4,Bakmi Jowo Pak No,"XFG6+25P, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276, Indonesia",Restoran Mie,3.8,4,Senin: 04.00–01.00 | Selasa: 04.00–01.00 | Rabu: 04.00–01.00 | Kamis: 04.00–01.00 | Jumat: 04.00–01.00 | Sabtu: 04.00–01.00 | Minggu: 04.00–01.00,,,-7.0249203,110.4604521,0857-9916-0449,,bakmi,XFG6+25P,Sambiroto,Tembalang,Semarang,Jawa Tengah
ChIJ3zL5RrCPcC4RiHPrpizskyI,Bakmi Jowo Pak Sis - Meteseh,"Jl. Bukit Klp. Gading I No.32, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271, Indonesia",Restoran Mie,5.0,1,Senin: 17.00–00.00 | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: 17.00–00.00,,,-7.065750899999999,110.4598198,0822-2096-6500,,bakmi,Jl. Bukit Klp. Gading I No.32,Meteseh,Tembalang,Semarang,Jawa Tengah
ChIJGfdoH1uMcC4RsyBmeoYhD24,Mie Ayam Happy,"Jl. Kedungmundu No.510A, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273, Indonesia",Restoran Mie,4.6,2580,Senin: Tutup | Selasa: 10.00–21.00 | Rabu: 10.00–21.00 | Kamis: 10.00–21.00 | Jumat: 10.00–21.00 | Sabtu: 10.00–21.00 | Minggu: 10.00–21.00,1.0,25000.0,-7.023494299999999,110.4588066,0812-2824-444,,bakmi,Jl. Kedungmundu No.510A,Kedungmundu,Tembalang,Semarang,Jawa Tengah
ChIJH-KpBwCPcC4RwEjvXtXhZc8,Pondok Bakmi Surabaya Cakdul Meteseh,"WFQ6+JWG, WFV7+46GJl. Bukit Kencana, JayaMeteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277, Indonesia",Restoran Indonesia,5.0,2,,,,-7.060934199999999,110.462336,,,bakmi,"WFQ6+JWG, WFV7+46GJl. Bukit Kencana",JayaMeteseh,Tembalang,Semarang,Jawa Tengah
ChIJAYSEnk6McC4R6PgJKzQeA-I,Bakmi Jowo Pak Waris 2,"XFC9+W3W, Jl. Ketileng Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.3,14,Senin: 16.00–00.00 | Selasa: 16.00–00.00 | Rabu: 16.00–00.00 | Kamis: 16.00–00.00 | Jumat: 16.00–00.00 | Sabtu: 16.00–00.00 | Minggu: 16.00–00.00,1.0,25000.0,-7.027648,110.467695,0858-7550-5366,,bakmi,"XFC9+W3W, Jl. Ketileng Raya",Sendangmulyo,Tembalang,Semarang,Jawa Tengah
ChIJE3NPu8aPcC4Rq5hZeJOPZlA,Waroeng Tokyo - Tembalang Semarang,"Jl. Banjarsari No.24, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275, Indonesia",Restoran,4.7,350,Senin: 09.30–22.00 | Selasa: 09.30–22.00 | Rabu: 09.30–22.00 | Kamis: 09.30–22.00 | Jumat: 09.30–22.00 | Sabtu: 09.30–22.00 | Minggu: 09.30–22.00,25000.0,50000.0,-7.059258499999999,110.4378566,0851-3877-6559,,ramen,Jl. Banjarsari No.24,Tembalang,Tembalang,Semarang,Jawa Tengah
