Place ID,Nama Tempat,Alamat,Jenis Bisnis,Rating,Jumlah Review,Jam Operasional,Harga Start,Harga End,Latitude,Longitude,Telepon,Website,Keyword
ChIJtd7IDgCPcC4RDenSnPjmk18,PONDOK Bakmi Surabaya Cak DUL,"WFV7+478, Jl. Profesor Suharso, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277, Indonesia",Warung Makanan Kecil,3.9,14,Senin: 16.00–23.00 | Selasa: 16.00–23.00 | Rabu: 16.00–23.00 | Kamis: 16.00–23.00 | Jumat: 16.00–23.00 | Sabtu: 16.00–23.00 | Minggu: 16.00–23.00,,,-7.0572048999999994,110.4631895,0813-2515-7257,,bakmi
ChIJrSiv_0uMcC4R7u6wqeW5U2k,Bakmi Surabaya Cak Baron,"XFC9+768, Jl. Ketileng Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.6,27,Senin: 18.45–23.45 | Selasa: 18.45–23.45 | Rabu: 18.45–23.45 | Kamis: 18.45–23.45 | Jumat: 18.45–23.45 | Sabtu: 18.45–23.45 | Minggu: 18.45–23.45,,,-7.029325399999999,110.46807779999999,,,bakmi
ChIJrc8oxsOPcC4R92H9XZlWLwo,Mie Bandung GG Belakang Pak Min Tembalang,"Jl. Banjarsari Selatan No.10, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268, Indonesia",Restoran Mie,4.6,333,Senin: 10.00–21.30 | Selasa: 10.00–21.30 | Rabu: 10.00–21.30 | Kamis: 10.00–21.30 | Jumat: 10.00–21.30 | Sabtu: 10.00–21.30 | Minggu: 10.00–21.30,1.0,25000.0,-7.0605128,110.4354365,0857-2513-9735,,bakmi
ChIJR9PPyT-NcC4RzwQ-Xo4rU0s,BAKMI JOWO GM GAJAH MAKMUR,"Jl. Gayamsari Selatan I No.47, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50248, Indonesia",Restoran,4.9,30,Senin: 10.00–02.00 | Selasa: 10.00–02.00 | Rabu: 10.00–02.00 | Kamis: 10.00–02.00 | Jumat: 10.00–02.00 | Sabtu: 10.00–02.00 | Minggu: 10.00–02.00,1.0,25000.0,-7.0073053,110.44884549999999,0823-2276-4326,,bakmi
ChIJU8ywW0mMcC4R5xWApb8GEH4,Bakmi Surabaya cak zun,"Jl. Kompol R. Soekanto, kota, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.3,44,Senin: 16.00–23.30 | Selasa: 16.00–23.30 | Rabu: 16.00–23.30 | Kamis: 16.00–23.30 | Jumat: 16.00–23.30 | Sabtu: 16.00–23.30 | Minggu: 16.00–23.30,1.0,25000.0,-7.027704600000001,110.459498,0857-1312-5010,,bakmi
ChIJV3hTYfaNcC4R3SvQLPXEQi0,Bakmi Jowo Pak Brewok,"Jl. Klipang Raya Permai Blok G23, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.8,77,Senin: 17.00–23.00 | Selasa: 17.00–23.00 | Rabu: 17.00–23.00 | Kamis: 17.00–23.00 | Jumat: 17.00–23.00 | Sabtu: 17.00–23.00 | Minggu: 17.00–23.00,1.0,25000.0,-7.0427821999999995,110.4791285,0821-3485-7772,,bakmi
ChIJP98OMsyNcC4RFvQR_C6gBOI,"Bakmi Surabaya ""cak Pri""","Blok D No, Jl. Klipang Raya Blk. G No.6, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.1,82,Senin: 16.00–23.30 | Selasa: 16.00–23.30 | Rabu: 16.00–23.30 | Kamis: 16.00–23.30 | Jumat: 16.00–23.30 | Sabtu: 16.00–23.30 | Minggu: 16.00–23.30,1.0,25000.0,-7.041143399999999,110.4792524,0813-2559-2036,,bakmi
ChIJoVUk1V2NcC4RLXWsQyrPNgQ,BAKMI JOWO KANG DOEL,"XFH4+HPR, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274, Indonesia",Restoran Mie,4.9,16,Senin: 15.30–23.30 | Selasa: 15.30–23.30 | Rabu: 15.30–23.30 | Kamis: 15.30–23.30 | Jumat: 15.30–23.30 | Sabtu: 15.30–23.30 | Minggu: 15.30–23.30,,,-7.0210026,110.4567797,0812-2556-0512,,bakmi
ChIJRZb2GFuMcC4Rn6b0kDBMkq0,Pondok Bakmi Bu Tarno,"XFG5+P9F, Jalan Jl. Kedungmundu, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273, Indonesia",Kafe,4.4,97,Senin: 18.00–00.00 | Selasa: 18.00–00.00 | Rabu: 18.00–00.00 | Kamis: 18.00–00.00 | Jumat: 18.00–00.00 | Sabtu: 18.00–00.00 | Minggu: 18.00–00.00,1.0,25000.0,-7.023199000000001,110.4584241,,,bakmi
ChIJjetfDhaNcC4RCq7ljR_IuRk,Bakmi Serangkai,"Jl. Veteran No.3A, Lempongsari, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah 50196, Indonesia",Restoran Mie,4.5,1249,Senin: 12.00–01.00 | Selasa: 12.00–01.00 | Rabu: 12.00–01.00 | Kamis: 12.00–01.00 | Jumat: 13.00–01.00 | Sabtu: 12.00–01.00 | Minggu: 12.00–01.00,25000.0,50000.0,-6.9962563,110.41398799999999,0821-3817-3482,https://instagram.com/bakmiserangkai?igshid=OGQ5ZDc2ODk2ZA==,bakmi
